month,Anger,Cognitive,Fear,Joy,Sadness
1,0.07504371205523833,0.4788071722812946,0.10797343762451762,0.24382762004983485,0.09434805798911453
2,0.10423318870540337,0.5050814177405349,0.09598922567157589,0.21421968528595234,0.08047648259653359
3,0.058145482626522145,0.4811415749073117,0.07023172135047989,0.30123358328995975,0.08924763782572653
4,0.13389765211320306,0.4805902806165198,0.05616744279025272,0.26616274834491255,0.0631818761351118
5,0.06870771039121469,0.42122235632985977,0.14303427111685765,0.3004521059092645,0.06658355625280334
6,0.03373069579785453,0.5554043330918165,0.13009918723562922,0.24968871342458154,0.031077070450118177
7,0.1324335850899719,0.4529505533565455,0.08632853889762604,0.27315541462074205,0.05513190803511456
8,0.0912518093276142,0.4290124728146816,0.05234772616299822,0.35041718343239364,0.07697080826231231
9,0.08025007317505266,0.48616235598749663,0.09533183930847605,0.24969365126649704,0.08856208026247765
10,0.016615245105162244,0.5879758104572128,0.11905568548599145,0.25022498829217976,0.026128270659453806
11,0.03304756970644179,0.5721297713705019,0.026302114969195017,0.22372080226558852,0.14479974168827275
12,0.06577184354577054,0.43347428967541013,0.15883537935499953,0.2633517719742207,0.07856671544959913
