month,category,emotion_raw,weight_sum,prop
1,Anger,anger,0.07896003774034657,0.013651321683377028
1,Anger,annoyance,0.2800495032841961,0.04841747757484965
1,Anger,disapproval,0.07504764944314957,0.01297491279701165
1,Cognitive,confusion,1.4721547645796895,0.2545193598447906
1,Cognitive,curiosity,0.6146590807343448,0.10626779161765536
1,Cognitive,realization,0.46193798079362347,0.07986399391449575
1,Cognitive,surprise,0.2206966764293611,0.03815602690435286
1,Fear,fear,0.05106932080040375,0.008829323621785153
1,Fear,nervousness,0.5734553155334046,0.0991441140027325
1,Joy,amusement,0.33584956467772525,0.0580646941901733
1,Joy,caring,0.16727711021279296,0.028920371711191717
1,Joy,desire,0.14012800995260477,0.02422659101310188
1,Joy,excitement,0.6851345753948664,0.1184522291627542
1,Joy,gratitude,0.0819238601917667,0.014163733972613779
1,Sadness,disappointment,0.36452160123735666,0.0630217738167079
1,Sadness,remorse,0.0613240348175168,0.010602250836929
1,Sadness,sadness,0.11986901285126805,0.02072403333547764
2,Anger,anger,0.923031893320426,0.02810661004451077
2,Anger,annoyance,1.7035610217126271,0.051873966296074006
2,Anger,disapproval,0.7186050909454934,0.021881749930165954
2,Anger,disgust,0.0778600350022316,0.00237086243465262
2,Cognitive,confusion,8.618306491959395,0.2624301300599684
2,Cognitive,curiosity,3.3863475662289595,0.10311534325947136
2,Cognitive,realization,2.6132698951827114,0.07957488621626874
2,Cognitive,surprise,1.969144233070048,0.05996105820482628
2,Fear,embarrassment,0.2726859425505002,0.00830337229661268
2,Fear,fear,0.5871470323142907,0.01787881090076342
2,Fear,nervousness,2.2924901466245675,0.0698070424741998
2,Joy,amusement,0.4685812956886366,0.014268447111502054
2,Joy,approval,0.06709560984745622,0.002043082319612148
2,Joy,caring,1.2086280719861022,0.03680310307150957
2,Joy,desire,1.3006123056452323,0.03960405177589289
2,Joy,excitement,3.593439117539875,0.10942134581293686
2,Joy,gratitude,0.0819238601917667,0.0024946071835804584
2,Joy,optimism,0.08086682576686144,0.0024624201545087312
2,Joy,relief,0.23390984061425402,0.00712262785640954
2,Sadness,disappointment,1.0686445916852676,0.032540562283958276
2,Sadness,grief,0.22273998335003853,0.006782502206743429
2,Sadness,remorse,0.6692445108201355,0.020378704816347064
2,Sadness,sadness,0.6822495815188935,0.020774713289484832
3,Anger,anger,1.1314725850415475,0.021920330764715733
3,Anger,annoyance,0.9200493492496511,0.01782437004841196
3,Anger,disapproval,0.7925919106834682,0.015355101902872606
3,Anger,disgust,0.15721037052571774,0.003045679910521835
3,Cognitive,confusion,11.26053602837717,0.2181534732641907
3,Cognitive,curiosity,6.332470144620588,0.12268069236752518
3,Cognitive,realization,5.695301849737561,0.11033665508259792
3,Cognitive,surprise,1.547015283956455,0.029970754192997894
3,Fear,embarrassment,0.37519439309835434,0.007268744560417879
3,Fear,fear,0.26554202008992434,0.005144418865516033
3,Fear,nervousness,2.9844491810116556,0.05781855792454596
3,Joy,admiration,0.07447689771652222,0.0014428615008963046
3,Joy,amusement,0.5539620774642875,0.010732060263466632
3,Joy,approval,0.9995876792803525,0.01936528807488105
3,Joy,caring,2.3628169594528683,0.04577550527729749
3,Joy,desire,5.242759737353223,0.10156943180244785
3,Joy,excitement,6.2382147382801705,0.12085465635864674
3,Joy,relief,0.07710518377522628,0.0014937800123235776
3,Sadness,disappointment,1.7423555850046495,0.03375513577436722
3,Sadness,grief,0.36401974240110985,0.007052254967384774
3,Sadness,remorse,1.3292474158329977,0.02575187716292129
3,Sadness,sadness,1.1711168431032526,0.022688369921053237
4,Anger,anger,0.2284803632646799,0.03808738363245058
4,Anger,annoyance,0.2210340479078392,0.03684609240903085
4,Anger,disapproval,0.19650666340021417,0.03275740885699908
4,Anger,disgust,0.15721037052571774,0.026206767214722555
4,Cognitive,confusion,1.2785857742440634,0.21313860935267329
4,Cognitive,curiosity,0.620569959892468,0.10344821671094
4,Cognitive,realization,0.5467134262802024,0.09113642724571291
4,Cognitive,surprise,0.4371181026721994,0.07286702730719376
4,Fear,embarrassment,0.07295950191716354,0.012162255431695093
4,Fear,nervousness,0.26398035869933667,0.044005187358557636
4,Joy,amusement,0.07378682252019644,0.012300168715552411
4,Joy,approval,0.1916928082704544,0.03195494537848209
4,Joy,caring,0.19810328523938853,0.033023563670636774
4,Joy,desire,0.381983239389956,0.06367611628382118
4,Joy,excitement,0.7511032828440269,0.12520795429642004
4,Sadness,disappointment,0.0851840334944427,0.014200069173138902
4,Sadness,remorse,0.1992954732850194,0.03322229988939603
4,Sadness,sadness,0.09453886188566683,0.01575950707257686
5,Anger,anger,0.18823083446671562,0.031679279775749365
5,Anger,annoyance,0.22001423148127894,0.037028430615465326
5,Cognitive,confusion,1.1518849771957669,0.19386242729811606
5,Cognitive,curiosity,0.7536463261271517,0.12683879814371984
5,Cognitive,realization,0.5121651472679029,0.08619747682496089
5,Cognitive,surprise,0.08510778578264373,0.014323654063063025
5,Fear,fear,0.1877283003181219,0.031594703197553385
5,Fear,nervousness,0.6621477195993066,0.11143956791930427
5,Joy,amusement,0.1827544279706975,0.030757599679899994
5,Joy,caring,0.35798376612365246,0.06024872553074164
5,Joy,desire,0.2744512530043721,0.04619019011079128
5,Joy,excitement,0.970026347354897,0.16325559058783154
5,Sadness,grief,0.10620633512735368,0.017874543317988517
5,Sadness,remorse,0.16041157363603514,0.026997293694635167
5,Sadness,sadness,0.12900593255956969,0.021711719240179662
6,Anger,annoyance,0.21800159855435294,0.03373069579785453
6,Cognitive,confusion,1.9232692269719251,0.29758134647893614
6,Cognitive,curiosity,0.8281008618573348,0.1281294194468336
6,Cognitive,realization,0.7649892434721725,0.11836435893729133
6,Cognitive,surprise,0.07322071027010679,0.011329208228755439
6,Fear,fear,0.18358174711465836,0.028405021371525875
6,Fear,nervousness,0.6572497304795044,0.10169416586410335
